Protocol,Size,Rate,Bandwidth,Loss,ConfigDelay_ms,Sent,Received,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps
mqtt,16,10,100kbit,5%,500,100,100,100.0,1125.9507846832275,324.10016991539686,1280.0
mqtt,16,10,100kbit,10%,0,100,100,100.0,163.10404539108276,216.26698387086395,1280.0
mqtt,16,10,100kbit,10%,20,100,81,81.0,601.8635343622278,670.695123575772,1036.8
mqtt,16,10,100kbit,10%,100,100,100,100.0,386.63830518722534,332.93712216046794,1280.0
mqtt,16,10,100kbit,10%,500,100,100,100.0,1066.3301587104797,317.71400596701744,1280.0
mqtt,16,10,250kbit,0%,0,100,100,100.0,5.972621440887451,1.0079866616585638,1280.0
mqtt,16,10,250kbit,0%,20,100,100,100.0,28.607804775238037,6.607238865910999,1280.0
mqtt,16,10,250kbit,0%,100,100,100,100.0,212.3329520225525,62.687980695878345,1280.0
mqtt,16,10,250kbit,0%,500,100,100,100.0,1042.0566010475159,307.1678910869706,1280.0
mqtt,16,10,250kbit,1%,0,100,100,100.0,6.144444942474365,0.8188475018045283,1280.0
mqtt,16,10,250kbit,1%,20,100,100,100.0,31.198337078094482,17.551584265878557,1280.0
mqtt,16,10,250kbit,1%,100,100,100,100.0,224.45496797561646,65.70257326245252,1280.0
mqtt,16,10,250kbit,1%,500,100,100,100.0,1057.1747994422913,315.1541909355967,1280.0
mqtt,16,10,250kbit,5%,0,100,100,100.0,25.82054615020752,52.54026084908333,1280.0
mqtt,16,10,250kbit,5%,20,100,100,100.0,146.06899976730347,228.20091160614888,1280.0
mqtt,16,10,250kbit,5%,100,100,100,100.0,359.1337990760803,245.70276507225836,1280.0
mqtt,16,10,250kbit,5%,500,100,100,100.0,1026.334252357483,308.76986192014846,1280.0
mqtt,16,10,250kbit,10%,0,100,100,100.0,1361.3058114051819,1609.6878807273017,1280.0
mqtt,16,10,250kbit,10%,20,100,100,100.0,218.26961755752563,205.36758316371595,1280.0
mqtt,16,10,250kbit,10%,100,100,100,100.0,816.9043946266174,638.0357226784564,1280.0
mqtt,16,10,250kbit,10%,500,100,98,98.0,1038.7822900499616,301.6983030917881,1254.4
mqtt,16,10,1mbit,0%,0,100,100,100.0,3.1410956382751465,0.477938966490851,1280.0
mqtt,16,10,1mbit,0%,20,100,100,100.0,27.063734531402588,6.722004809842111,1280.0
mqtt,16,10,1mbit,0%,100,100,100,100.0,206.9744348526001,64.35821061083873,1280.0
mqtt,16,10,1mbit,0%,500,100,100,100.0,1020.2707529067993,301.9078975273348,1280.0
mqtt,16,10,1mbit,1%,0,100,100,100.0,7.191319465637207,25.350602614774687,1280.0
mqtt,16,10,1mbit,1%,20,100,100,100.0,55.7637882232666,91.36776539982735,1280.0
mqtt,16,10,1mbit,1%,100,100,100,100.0,230.88466882705688,73.83071526385869,1280.0
mqtt,16,10,1mbit,1%,500,100,100,100.0,1009.6347188949586,300.3585625693921,1280.0
mqtt,16,10,1mbit,5%,0,100,100,100.0,23.095862865447998,51.92455020570626,1280.0
mqtt,16,10,1mbit,5%,20,100,100,100.0,67.5680160522461,89.00842824749562,1280.0
mqtt,16,10,1mbit,5%,100,100,100,100.0,356.02168321609497,262.0750688757739,1280.0
mqtt,16,10,1mbit,5%,500,100,100,100.0,1067.095558643341,407.636197178778,1280.0
mqtt,16,10,1mbit,10%,0,100,100,100.0,89.05177593231201,140.2037057115114,1280.0
mqtt,16,10,1mbit,10%,20,100,100,100.0,187.37390279769897,230.14870468130314,1280.0
mqtt,16,10,1mbit,10%,100,100,100,100.0,391.6860842704773,269.92059943349983,1280.0
mqtt,16,10,1mbit,10%,500,100,100,100.0,1051.4261484146118,309.05969646435574,1280.0
mqtt,16,10,0,0%,0,100,100,100.0,1.3092899322509766,0.3239373075155635,1280.0
mqtt,16,10,0,0%,20,100,100,100.0,1.2888431549072266,0.35520896977350885,1280.0
mqtt,16,10,0,0%,100,100,100,100.0,1.3716363906860352,0.5317323268433793,1280.0
mqtt,16,10,0,0%,500,100,100,100.0,1.281726360321045,0.34505931168763215,1280.0
mqtt,16,10,0,1%,0,100,100,100.0,1.2407970428466797,0.30159547907200485,1280.0
mqtt,16,10,0,1%,20,100,100,100.0,1.1993741989135742,0.33741458636295313,1280.0
mqtt,16,10,0,1%,100,100,100,100.0,1.21443510055542,0.33731411176045967,1280.0
mqtt,16,10,0,1%,500,100,100,100.0,1.2511181831359863,0.31399161231265865,1280.0
mqtt,16,10,0,5%,0,100,100,100.0,1.2826919555664062,0.32942413412662463,1280.0
mqtt,16,10,0,5%,20,100,100,100.0,1.340186595916748,0.3697262201263967,1280.0
mqtt,16,10,0,5%,100,100,100,100.0,1.4308500289916992,0.37139806993839136,1280.0
mqtt,16,10,0,5%,500,100,100,100.0,1.25593900680542,0.3114110596632106,1280.0
mqtt,16,10,0,10%,0,100,100,100.0,1.2646746635437012,0.371579678922152,1280.0
mqtt,16,10,0,10%,20,100,100,100.0,1.3083076477050781,0.3214563805419739,1280.0
mqtt,16,10,0,10%,100,100,100,100.0,1.349174976348877,0.3051489060011437,1280.0
mqtt,16,10,0,10%,500,100,100,100.0,1.3102006912231445,0.33083659492905493,1280.0
mqtt,16,100,50kbit,0%,0,1000,1000,100.0,100.68872499465942,22.14961544421394,12800.0
mqtt,16,100,50kbit,0%,20,1000,1000,100.0,249.53890442848206,59.341320095225946,12800.0
mqtt,16,100,50kbit,0%,100,1000,1000,100.0,503.96519994735723,114.80716483205548,12800.0
mqtt,16,100,50kbit,0%,500,1000,1000,100.0,935.2793121337891,135.6985390888002,12800.0
mqtt,16,100,50kbit,1%,0,1000,1000,100.0,141.26123666763306,101.5245180972686,12800.0
mqtt,16,100,50kbit,1%,20,1000,1000,100.0,250.84482526779172,58.79849967819988,12800.0
mqtt,16,100,50kbit,1%,100,1000,1000,100.0,504.7167015075683,116.26572294933214,12800.0
mqtt,16,100,50kbit,1%,500,1000,1000,100.0,1200.6212191581726,529.6947626491975,12800.0
mqtt,16,100,50kbit,5%,0,1000,1000,100.0,185.50143575668335,127.8610815911451,12800.0
mqtt,16,100,50kbit,5%,20,1000,1000,100.0,325.05945920944214,162.11784121602048,12800.0
mqtt,16,100,50kbit,5%,100,1000,1000,100.0,649.6191728115082,267.54779406678557,12800.0
mqtt,16,100,50kbit,5%,500,1000,1000,100.0,1550.0200011730194,637.6940420431048,12800.0
mqtt,16,100,50kbit,10%,0,1000,1000,100.0,453.3010802268982,313.3485814182572,12800.0
mqtt,16,100,50kbit,10%,20,1000,1000,100.0,606.9729905128479,517.6640973427867,12800.0
mqtt,16,100,50kbit,10%,100,1000,701,70.1,645.0905058421355,306.24281367612184,8972.8
mqtt,16,100,50kbit,10%,500,1000,1118,111.80000000000001,2655.0976952841115,3762.4465572205418,14310.4
mqtt,16,100,100kbit,0%,0,1000,1012,101.2,103.88939253426352,709.7164943090244,12953.6
mqtt,16,100,100kbit,0%,20,1000,1000,100.0,98.78703188896179,24.863101187515205,12800.0
mqtt,16,100,100kbit,0%,100,1000,1000,100.0,368.9251925945282,92.23720068840564,12800.0
mqtt,16,100,100kbit,0%,500,1000,1000,100.0,827.7557578086853,177.48273754688034,12800.0
mqtt,16,100,100kbit,1%,0,1000,1000,100.0,69.74080610275269,81.89004202583492,12800.0
mqtt,16,100,100kbit,1%,20,1000,1000,100.0,113.6320288181305,68.45956449886162,12800.0
mqtt,16,100,100kbit,1%,100,1000,1000,100.0,401.04013180732727,160.49973316911954,12800.0
mqtt,16,100,100kbit,1%,500,1000,1000,100.0,820.6871061325073,126.310601823301,12800.0
mqtt,16,100,100kbit,5%,0,1000,1000,100.0,193.43654537200928,143.32595530680203,12800.0
mqtt,16,100,100kbit,5%,20,1000,1000,100.0,197.61782431602478,143.0925038562964,12800.0
mqtt,16,100,100kbit,5%,100,1000,1000,100.0,484.2155776023865,298.67664016620483,12800.0
mqtt,16,100,100kbit,5%,500,1000,1000,100.0,1389.0035445690155,612.6978654308812,12800.0
mqtt,16,100,100kbit,10%,0,1000,1000,100.0,353.47652649879456,492.8847336220749,12800.0
mqtt,16,100,100kbit,10%,20,1000,1000,100.0,402.63798117637634,395.3024323547565,12800.0
mqtt,16,100,100kbit,10%,100,1000,1000,100.0,489.46259450912476,236.00152497291833,12800.0
mqtt,16,100,100kbit,10%,500,1000,994,99.4,2190.1992331568144,1215.1523888324311,12723.2
mqtt,16,100,250kbit,0%,0,1000,1000,100.0,5.893365383148193,2.4402277735477895,12800.0
mqtt,16,100,250kbit,0%,20,1000,1000,100.0,63.628931045532234,17.445945706750198,12800.0
mqtt,16,100,250kbit,0%,100,1000,1000,100.0,259.6449489593506,71.65216124780228,12800.0
mqtt,16,100,250kbit,0%,500,1000,1000,100.0,732.4722099304199,116.30225753068041,12800.0
mqtt,16,100,250kbit,1%,0,1000,1000,100.0,44.63159465789795,69.73069100114623,12800.0
mqtt,16,100,250kbit,1%,20,1000,1000,100.0,86.66595840454102,71.91252822175504,12800.0
mqtt,16,100,250kbit,1%,100,1000,1000,100.0,308.9016897678375,161.82765449724133,12800.0
mqtt,16,100,250kbit,1%,500,1000,1000,100.0,736.3712568283081,136.49169404237875,12800.0
mqtt,16,100,250kbit,5%,0,1000,1000,100.0,120.30382299423218,107.26314418660006,12800.0
mqtt,16,100,250kbit,5%,20,1000,1000,100.0,144.39025688171387,127.67637863579002,12800.0
mqtt,16,100,250kbit,5%,100,1000,1000,100.0,328.50844717025757,173.76116283669364,12800.0
mqtt,16,100,250kbit,5%,500,1000,1000,100.0,843.6679916381836,321.313697652958,12800.0
mqtt,16,100,250kbit,10%,0,1000,1000,100.0,240.74937915802002,203.62354953124282,12800.0
mqtt,16,100,250kbit,10%,20,1000,1000,100.0,266.99182510375977,208.39095436339946,12800.0
mqtt,16,100,250kbit,10%,100,1000,1000,100.0,523.1039938926697,404.0906164445538,12800.0
mqtt,16,100,250kbit,10%,500,1000,1000,100.0,885.7599637508392,438.9989069822189,12800.0
mqtt,16,100,1mbit,0%,0,1000,1000,100.0,2.3378148078918457,1.8329258676251317,12800.0
mqtt,16,100,1mbit,0%,20,1000,1000,100.0,52.26400113105774,15.039825636854275,12800.0
mqtt,16,100,1mbit,0%,100,1000,1000,100.0,214.86372995376587,62.19066122717557,12800.0
mqtt,16,100,1mbit,0%,500,1000,1000,100.0,713.0178499221802,112.97088319866458,12800.0
mqtt,16,100,1mbit,1%,0,1000,1000,100.0,23.862239122390747,52.26349536767886,12800.0
mqtt,16,100,1mbit,1%,20,1000,1000,100.0,71.10535383224487,65.90027817414678,12800.0
mqtt,16,100,1mbit,1%,100,1000,1000,100.0,241.41561031341553,117.43390701524946,12800.0
mqtt,16,100,1mbit,1%,500,1000,1000,100.0,681.8688614368439,115.4791542934045,12800.0
mqtt,16,100,1mbit,5%,0,1000,1000,100.0,84.56559252738953,81.3365741485606,12800.0
mqtt,16,100,1mbit,5%,20,1000,1000,100.0,130.55845379829407,114.99357486111953,12800.0
mqtt,16,100,1mbit,5%,100,1000,1000,100.0,293.94298458099365,164.35577996896737,12800.0
mqtt,16,100,1mbit,5%,500,1000,1000,100.0,711.0914032459259,162.16799961132955,12800.0
mqtt,16,100,1mbit,10%,0,1000,1000,100.0,224.1485345363617,244.51876527771898,12800.0
mqtt,16,100,1mbit,10%,20,1000,1000,100.0,408.2463438510895,458.2645216640333,12800.0
mqtt,16,100,1mbit,10%,100,1000,1000,100.0,313.74739694595337,191.35814233091418,12800.0
mqtt,16,100,1mbit,10%,500,1000,1000,100.0,1222.684181690216,563.4611734738678,12800.0
mqtt,16,100,0,0%,0,1000,1000,100.0,0.7901806831359863,1.5815330895131656,12800.0
mqtt,16,100,0,0%,20,1000,1000,100.0,0.7236287593841553,1.5059918867081037,12800.0
mqtt,16,100,0,0%,100,1000,1000,100.0,0.6850283145904541,1.472958472885306,12800.0
mqtt,16,100,0,0%,500,1000,1000,100.0,0.6588320732116699,1.2563921982425843,12800.0
mqtt,16,100,0,1%,0,1000,1000,100.0,0.6981585025787354,1.5100315141768106,12800.0
mqtt,16,100,0,1%,20,1000,1000,100.0,0.6961674690246582,1.4230016994335306,12800.0
mqtt,16,100,0,1%,100,1000,1000,100.0,0.8997735977172852,1.4768078306319936,12800.0
mqtt,16,100,0,1%,500,1000,1000,100.0,1.0231144428253174,2.3490450707812625,12800.0
mqtt,16,100,0,5%,0,1000,1000,100.0,0.9141857624053955,1.2994548026181498,12800.0
mqtt,16,100,0,5%,20,1000,1000,100.0,0.7761809825897217,1.351570427869324,12800.0
mqtt,16,100,0,5%,100,1000,1000,100.0,0.858722448348999,1.245693388157655,12800.0
mqtt,16,100,0,5%,500,1000,1000,100.0,0.7533941268920898,1.3567401308322107,12800.0
mqtt,16,100,0,10%,0,1000,1000,100.0,0.7419958114624023,1.4311715349892147,12800.0
mqtt,16,100,0,10%,20,1000,1000,100.0,0.6988134384155273,1.5629489945864803,12800.0
mqtt,16,100,0,10%,100,1000,1000,100.0,0.64078688621521,1.2995997722630794,12800.0
mqtt,16,100,0,10%,500,1000,1000,100.0,0.6564126014709473,1.3682731100663488,12800.0
mqtt,128,1,50kbit,0%,0,10,10,100.0,45.31230926513672,14.581489778834332,1024.0
mqtt,128,1,50kbit,0%,20,10,10,100.0,70.1484203338623,25.58965690904216,1024.0
mqtt,128,1,50kbit,0%,100,10,10,100.0,164.0331745147705,77.4019142357018,1024.0
mqtt,128,1,50kbit,0%,500,10,10,100.0,1113.9614343643188,286.1197110647627,1024.0
mqtt,128,1,50kbit,1%,0,10,10,100.0,66.64111614227295,77.44839591828935,1024.0
mqtt,128,1,50kbit,1%,20,10,10,100.0,66.39261245727539,23.50505947647678,1024.0
mqtt,128,1,50kbit,1%,100,10,10,100.0,165.37678241729736,81.42323652813582,1024.0
mqtt,128,1,50kbit,1%,500,10,10,100.0,989.4599676132202,268.26648881652585,1024.0
mqtt,128,1,50kbit,5%,0,10,10,100.0,43.11513900756836,12.565753206199119,1024.0
mqtt,128,1,50kbit,5%,20,10,10,100.0,65.72351455688477,23.067545663386966,1024.0
mqtt,128,1,50kbit,5%,100,10,10,100.0,299.01418685913086,284.9483438798433,1024.0
mqtt,128,1,50kbit,5%,500,10,10,100.0,1200.0828266143799,523.358968491214,1024.0
mqtt,128,1,50kbit,10%,0,10,10,100.0,116.9532299041748,165.06440344721017,1024.0
mqtt,128,1,50kbit,10%,20,10,10,100.0,94.52769756317139,92.56167489236263,1024.0
mqtt,128,1,50kbit,10%,100,10,10,100.0,232.87298679351807,231.6536400203641,1024.0
mqtt,128,1,50kbit,10%,500,10,8,80.0,928.0208051204681,515.6661203733009,819.2
mqtt,128,1,100kbit,0%,0,10,10,100.0,23.861408233642578,5.772649540217195,1024.0
mqtt,128,1,100kbit,0%,20,10,10,100.0,47.910141944885254,19.45201166760985,1024.0
mqtt,128,1,100kbit,0%,100,10,10,100.0,137.8871202468872,62.49388482378899,1024.0
mqtt,128,1,100kbit,0%,500,10,10,100.0,1067.4853563308716,453.95729733143537,1024.0
mqtt,128,1,100kbit,1%,0,10,10,100.0,22.778797149658203,6.299598460468187,1024.0
mqtt,128,1,100kbit,1%,20,10,10,100.0,47.59471416473389,18.032882048632356,1024.0
mqtt,128,1,100kbit,1%,100,10,10,100.0,142.4996852874756,75.16306126702955,1024.0
mqtt,128,1,100kbit,1%,500,10,10,100.0,844.7776556015015,394.6013864267368,1024.0
mqtt,128,1,100kbit,5%,0,10,10,100.0,46.01712226867676,72.51231915458973,1024.0
mqtt,128,1,100kbit,5%,20,10,10,100.0,47.965097427368164,17.96923120166035,1024.0
mqtt,128,1,100kbit,5%,100,10,10,100.0,319.4409370422363,312.0951234982631,1024.0
mqtt,128,1,100kbit,5%,500,10,10,100.0,1371.2248802185059,558.2332342068427,1024.0
mqtt,128,1,100kbit,10%,0,10,10,100.0,47.35431671142578,73.70512879217448,1024.0
mqtt,128,1,100kbit,10%,20,10,10,100.0,186.75439357757568,188.27370072829544,1024.0
mqtt,128,1,100kbit,10%,100,10,10,100.0,141.00935459136963,68.45069913856292,1024.0
mqtt,128,1,100kbit,10%,500,10,10,100.0,1209.957218170166,436.3601731224776,1024.0
mqtt,128,1,250kbit,0%,0,10,10,100.0,10.798835754394531,2.3288046086589693,1024.0
mqtt,128,1,250kbit,0%,20,10,10,100.0,36.98720932006836,16.814941322686824,1024.0
mqtt,128,1,250kbit,0%,100,10,10,100.0,130.51702976226807,61.64827390670616,1024.0
mqtt,128,1,250kbit,0%,500,10,10,100.0,1184.9247694015503,445.42339016987086,1024.0
mqtt,128,1,250kbit,1%,0,10,10,100.0,11.00625991821289,2.3858280412185557,1024.0
mqtt,128,1,250kbit,1%,20,10,10,100.0,35.930418968200684,14.618698980403597,1024.0
mqtt,128,1,250kbit,1%,100,10,10,100.0,135.57562828063965,65.00643258920576,1024.0
mqtt,128,1,250kbit,1%,500,10,10,100.0,950.3328561782837,290.8911004272652,1024.0
mqtt,128,1,250kbit,5%,0,10,10,100.0,31.67967796325684,66.0466799878494,1024.0
mqtt,128,1,250kbit,5%,20,10,10,100.0,34.9825382232666,15.779239178325618,1024.0
mqtt,128,1,250kbit,5%,100,10,10,100.0,136.72821521759033,65.63194377747992,1024.0
mqtt,128,1,250kbit,5%,500,10,10,100.0,1525.5853414535522,1063.6699367842532,1024.0
mqtt,128,1,250kbit,10%,0,10,10,100.0,33.30402374267578,71.05509788693911,1024.0
